LAMMPS (24 Mar 2022)
Reading data file ...
  orthogonal box = (0 0 0) to (17.90955 17.90955 17.90955)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  365 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.450959
  ghost atom cutoff = 6.450959
  binsize = 3.2254795, bins = 6 6 6
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair adp, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.776 | 6.776 | 6.776 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
       224   51.1432       -1172.3231      0             -1169.9168     -95914.51     
       225   50.097694     -1172.2739      0             -1169.9168     -96077.506    
       226   49.053815     -1172.2248      0             -1169.9168     -96237.099    
       227   48.01325      -1172.1758      0             -1169.9168     -96393.356    
       228   46.977706     -1172.1271      0             -1169.9168     -96546.346    
       229   45.948905     -1172.0787      0             -1169.9168     -96696.14     
       230   44.928575     -1172.0307      0             -1169.9168     -96842.798    
       231   43.918435     -1171.9831      0             -1169.9168     -96986.388    
       232   42.920196     -1171.9362      0             -1169.9167     -97126.97     
       233   41.935541     -1171.8898      0             -1169.9167     -97264.602    
       234   40.96612      -1171.8442      0             -1169.9167     -97399.344    
       235   40.013537     -1171.7994      0             -1169.9167     -97531.247    
       236   39.079342     -1171.7554      0             -1169.9167     -97660.358    
       237   38.165019     -1171.7124      0             -1169.9167     -97786.722    
       238   37.271977     -1171.6704      0             -1169.9167     -97910.377    
       239   36.401539     -1171.6294      0             -1169.9167     -98031.364    
       240   35.554932     -1171.5896      0             -1169.9167     -98149.713    
       241   34.73328      -1171.5509      0             -1169.9167     -98265.45     
       242   33.937599     -1171.5135      0             -1169.9167     -98378.599    
       243   33.168782     -1171.4773      0             -1169.9167     -98489.177    
       244   32.427602     -1171.4424      0             -1169.9167     -98597.193    
       245   31.7147       -1171.4089      0             -1169.9167     -98702.653    
       246   31.030588     -1171.3767      0             -1169.9167     -98805.558    
